datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;2521;2521 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 021 A;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2522;2522 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 014;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2523;2523 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 015;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2611;2611 Bürgerhaus Delkenheim;W;Karl-Gärtner-Schule, Raum 05;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;nein;
09.03.2025;06414000;2612;2612 Bürgerhaus Delkenheim;W;Karl-Gärtner-Schule, Raum 05;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;nein;
09.03.2025;06414000;2613;2613 Karl-Gärtner-Schule;W;Karl-Gärtner-Schule, Mensa;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;ja;
09.03.2025;06414000;2711;2711 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 08, Aula;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2712;2712 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 08, Aula;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2713;2713 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 13;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2721;2721 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 05;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2731;2731 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, UG, Raum -122;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
09.03.2025;06414000;2732;2732 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, EG, Raum 026;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
